INSERT Address (Street, City, ZIP, Country) VALUES ('Red Clarendon 7','Peshastin',404919,'France');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Milton 64','Wanchese',483577,'Lebanon');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Red Cowley 7','Shungnak',134724,'Namibia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Second 43','Eva',975906,'Jordan');
INSERT Address (Street, City, ZIP, Country) VALUES ('West First 47','Wascott',729343,'Kiribati');
INSERT Address (Street, City, ZIP, Country) VALUES ('Cowley 35','Manly',455111,'Netherlands');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Fabien 71','Norden',177668,'Panama');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 57','Eden Valley',317332,'Honduras');
INSERT Address (Street, City, ZIP, Country) VALUES ('Milton 18','Fort Benton',660641,'Liberia');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Oak 29','Tulare',818855,'St Kitts & Nevis');
INSERT Address (Street, City, ZIP, Country) VALUES ('New 3','Prairie Grove',399333,'Kiribati');
INSERT Address (Street, City, ZIP, Country) VALUES ('White First 43','Christoval',452706,'Colombia');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Oak 63','Pebble Beach',227228,'Lebanon');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red New 45','Hanston',542358,'Burkina');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Nobel 76','Opihikao',696655,'Taiwan');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Fabien 50','Hemlock',628553,'Guinea-Bissau');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 52','Fairoaks',134959,'Grenada');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Milton 82','Coconut Creek',269909,'Solomon Islands');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Cowley 85','Harold',204885,'Korea North');
INSERT Address (Street, City, ZIP, Country) VALUES ('Nobel 55','Florahome',607321,'Namibia');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Cowley 74','Centenary',653776,'Pakistan');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Fabien 47','Amoret',557762,'United Kingdom');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Milton 63','Garey',169999,'Sweden');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 47','Brillion',918325,'Nepal');
INSERT Address (Street, City, ZIP, Country) VALUES ('Second 1','San Angelo',238137,'Kenya');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red Old 42','Luton',976384,'Denmark');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Milton 9','Treynor',131776,'Albania');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Milton 6','Erlands Point',571717,'United Arab Emirates');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 71','Clopton',792261,'Benin');
INSERT Address (Street, City, ZIP, Country) VALUES ('South Oak 97','Muscoda',472661,'Denmark');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Old 35','Cranesville',709441,'Guinea-Bissau');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 75','Birmingham',686771,'Ivory Coast');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Fabien 92','Chitina',976675,'Sweden');
INSERT Address (Street, City, ZIP, Country) VALUES ('North Green Fabien 5','Nicollet',934232,'Ecuador');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 87','Grandfield',449404,'Haiti');
INSERT Address (Street, City, ZIP, Country) VALUES ('West Hague 6','Texas Creek',621194,'Namibia');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 33','Rose Tree',751995,'South Sudan');
INSERT Address (Street, City, ZIP, Country) VALUES ('White Second 46','White Bear Beach',439257,'Micronesia');
INSERT Address (Street, City, ZIP, Country) VALUES ('Hague 39','Cistern',129412,'Sri Lanka');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Second 31','Pope',702751,'Latvia');
INSERT Address (Street, City, ZIP, Country) VALUES ('St Second 25','Melody Hills',619461,'Sierra Leone');
INSERT Address (Street, City, ZIP, Country) VALUES ('Green Oak 13','Aplington',605221,'Palau');
INSERT Address (Street, City, ZIP, Country) VALUES ('Red New 22','Glenmoor',307537,'Estonia');
INSERT Address (Street, City, ZIP, Country) VALUES ('First 36','New Cumberland',789340,'Congo');
INSERT Address (Street, City, ZIP, Country) VALUES ('Blue Second 20','Leesburg',350980,'Cameroon');
